epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4641.3,1.11359,0.7232,1.29692,0.93901,0.91739,0.96284,0.62851,1.30452,0.62472,1.46388,0.0005941,0.0005941,0.0005941
43,4750.71,1.11261,0.73321,1.30083,0.929,0.91512,0.96277,0.62335,1.31368,0.62411,1.4807,0.0005842,0.0005842,0.0005842
44,4862.98,1.10081,0.71829,1.29382,0.93899,0.91347,0.96126,0.6272,1.30505,0.6128,1.47236,0.0005743,0.0005743,0.0005743
45,4978.99,1.08394,0.70903,1.28466,0.94144,0.90859,0.96411,0.63051,1.30325,0.60242,1.47491,0.0005644,0.0005644,0.0005644
46,5092.54,1.08535,0.70115,1.28416,0.92916,0.92497,0.96163,0.62869,1.29774,0.60176,1.4662,0.0005545,0.0005545,0.0005545
47,5207.09,1.07828,0.704,1.27635,0.94296,0.91286,0.96293,0.63107,1.29264,0.59953,1.45664,0.0005446,0.0005446,0.0005446
48,5319.15,1.07525,0.68846,1.27071,0.94891,0.90964,0.96455,0.63482,1.29011,0.59683,1.46188,0.0005347,0.0005347,0.0005347
49,5427.66,1.06689,0.68953,1.27124,0.94333,0.89974,0.95694,0.6337,1.28902,0.60232,1.46123,0.0005248,0.0005248,0.0005248
50,5539.02,1.06062,0.6834,1.26319,0.95802,0.90509,0.96337,0.63314,1.28846,0.59924,1.46319,0.0005149,0.0005149,0.0005149
51,5648.43,1.0523,0.68301,1.26301,0.9433,0.91746,0.96592,0.63717,1.28743,0.59439,1.45542,0.000505,0.000505,0.000505
52,5757.34,1.04769,0.67669,1.2524,0.93501,0.91631,0.96441,0.63385,1.29079,0.594,1.46699,0.0004951,0.0004951,0.0004951
53,5865.76,1.03274,0.66765,1.24632,0.93818,0.91621,0.9658,0.63761,1.29069,0.5858,1.45812,0.0004852,0.0004852,0.0004852
54,5975.86,1.024,0.66086,1.24259,0.9552,0.91235,0.96304,0.63412,1.29357,0.5901,1.46389,0.0004753,0.0004753,0.0004753
55,6090.64,1.0275,0.66205,1.24368,0.95106,0.91146,0.96517,0.63583,1.29336,0.58826,1.46876,0.0004654,0.0004654,0.0004654
56,6205.57,1.01703,0.64824,1.2351,0.95295,0.91095,0.96713,0.63829,1.28816,0.56953,1.45985,0.0004555,0.0004555,0.0004555
57,6320.56,1.0117,0.64775,1.23199,0.93996,0.92458,0.96726,0.64142,1.27675,0.57564,1.45826,0.0004456,0.0004456,0.0004456
58,6433.76,1.01852,0.64744,1.23661,0.95526,0.911,0.96848,0.64627,1.27392,0.57008,1.44832,0.0004357,0.0004357,0.0004357
59,6545.67,1.01859,0.65071,1.23536,0.9452,0.92621,0.96716,0.6374,1.2775,0.56303,1.45534,0.0004258,0.0004258,0.0004258
60,6662.12,1.0039,0.6325,1.21987,0.956,0.91849,0.96756,0.64149,1.27054,0.56145,1.44857,0.0004159,0.0004159,0.0004159
61,6777.63,0.99026,0.62933,1.22317,0.94261,0.92575,0.96776,0.6426,1.27619,0.56843,1.45895,0.000406,0.000406,0.000406
62,6891.66,0.98984,0.62921,1.21847,0.95454,0.91868,0.96613,0.64266,1.27542,0.56281,1.46278,0.0003961,0.0003961,0.0003961
63,7005.6,0.99478,0.62793,1.21206,0.94966,0.91916,0.96761,0.64027,1.27834,0.56871,1.46066,0.0003862,0.0003862,0.0003862
